pattern,coverage_percent,current_T,misr_hd
50,43.1467,128,5
100,44.7613,128,7
150,60.5977,128,5
200,60.8038,128,8
250,60.8382,256,7
300,60.8382,384,6
350,60.8382,384,7
400,60.8382,640,8
450,60.8382,1024,6
500,60.8382,1024,10
550,60.8382,1024,8
600,60.8726,1024,4
650,60.9069,1024,9
700,60.9069,1024,9
750,60.9069,1024,8
800,60.9069,1024,11
850,60.9069,1024,9
900,60.9413,1024,10
950,60.9756,1024,8
1000,61.2848,1024,11
1050,61.2848,1024,11
1100,61.2848,1024,9
1150,61.2848,1024,6
1200,73.6173,1024,10
1250,73.7547,1024,11
1300,73.7891,1024,4
1350,73.8234,1024,9
1400,74.3044,1024,8
1450,74.3387,1024,6
1500,74.4418,1024,7
1550,74.5448,1024,8
1600,74.7166,1024,9
1650,74.7509,1024,8
1700,74.7509,1024,6
1750,74.7509,1024,6
1800,74.8884,1024,8
1850,74.8884,1024,6
1900,74.9914,1024,3
1950,74.9914,1024,7
2000,75.0601,1024,6
2050,75.0601,1024,7
2100,75.0945,1024,4
2150,75.0945,1024,9
2200,79.5946,1024,9
2250,79.8695,1024,9
2300,79.8695,1024,5
2350,79.9382,1024,12
2400,79.9382,1024,8
2450,79.9382,1024,11
2500,79.9382,1024,8
2550,79.9382,1024,6
2600,79.9382,1024,9
2650,79.9382,1024,8
2700,79.9382,1024,7
2750,79.9382,1024,12
2800,79.9382,1024,9
2850,79.9382,1024,7
2900,79.9382,1024,10
2950,79.9382,1024,7
3000,79.9382,1024,7
3050,79.9382,1024,6
3100,79.9382,1024,8
3150,79.9382,1024,10
3200,79.9382,1024,9
3250,83.3734,1024,8
3300,83.4765,1024,9
3350,83.8887,1024,5
3400,84.0605,1024,7
3450,84.1979,1024,9
3500,84.1979,1024,8
3550,84.3009,1024,9
3600,84.3696,1024,9
3650,84.3696,1024,9
3700,84.4040,1024,11
3750,84.4040,1024,6
3800,84.4727,1024,11
3850,84.5070,1024,7
3900,84.5414,1024,11
3950,85.0567,1024,7
4000,85.0567,1024,9
4050,85.0567,1024,9
4100,85.0567,1024,7
4150,85.0567,1024,8
4200,85.0567,1024,7
4250,87.2209,1024,7
4300,87.9766,1024,10
4350,88.1484,1024,7
4400,88.2171,1024,6
4450,88.2171,1024,11
4500,88.2171,1024,6
4550,88.2171,1024,7
4600,88.2171,1024,9
4650,88.2171,1024,9
4700,88.2171,1024,7
4750,88.2171,1024,8
4800,88.2171,1024,10
4850,88.2171,1024,12
4900,88.2171,1024,7
4950,88.2171,1024,10
5000,88.2171,1024,10
5050,88.2171,1024,9
5100,88.2171,1024,11
5150,88.2171,1024,5
5200,88.2171,1024,7
5250,88.2858,1024,8
5300,88.5950,1024,11
5350,88.8355,1024,10
5400,88.9042,1024,7
5450,88.9042,1024,8
5500,88.9385,1024,8
5550,88.9385,1024,7
5600,88.9385,1024,6
5650,88.9385,1024,8
5700,89.1790,1024,10
5750,89.2133,1024,7
5800,89.2133,1024,7
5850,89.2133,1024,13
5900,89.2133,1024,7
5950,89.3164,1024,9
6000,89.3164,1024,10
6050,89.3164,1024,9
6100,89.3164,1024,9
6150,89.3507,1024,7
6200,89.3507,1024,6
6250,89.3507,1024,8
6300,89.9004,1024,7
6350,89.9004,1024,12
6400,89.9004,1024,9
6450,89.9004,1024,9
6500,89.9004,1024,6
6550,89.9004,1024,6
6600,89.9004,1024,7
6650,89.9004,1024,5
6700,89.9004,1024,5
6750,89.9004,1024,9
6800,89.9004,1024,7
6850,89.9004,1024,10
6900,89.9004,1024,7
6950,89.9004,1024,9
7000,89.9004,1024,6
7050,89.9004,1024,10
7100,89.9004,1024,10
7150,89.9004,1024,6
7200,89.9004,1024,13
7250,89.9004,1024,8
7300,90.0034,1024,5
7350,90.5531,1024,7
7400,90.6561,1024,6
7450,90.6561,1024,4
7500,90.6561,1024,14
7550,90.6561,1024,7
7600,90.6561,1024,8
7650,90.7935,1024,13
7700,90.7935,1024,6
7750,90.7935,1024,10
7800,90.7935,1024,9
7850,90.7935,1024,8
7900,90.7935,1024,3
7950,90.7935,1024,8
8000,90.9310,1024,6
