pattern,coverage_percent,current_T,misr_hd
50,43.1467,1024,5
100,44.7613,1024,7
150,47.2003,1024,7
200,47.6812,1024,11
250,48.1621,1024,8
300,48.5744,1024,8
350,48.5744,1024,6
400,48.5744,1024,10
450,48.5744,1024,6
500,48.5744,1024,4
550,48.5744,1024,8
600,48.5744,1024,7
650,48.5744,1024,8
700,48.6087,1024,6
750,48.6087,1024,7
800,48.6087,1024,12
850,48.6087,1024,7
900,48.6087,1024,7
950,48.6087,1024,7
1000,48.6087,1024,11
1050,62.1436,1024,7
1100,62.2467,1024,11
1150,62.2467,1024,6
1200,62.3154,1024,9
1250,62.4184,1024,7
1300,62.4184,1024,9
1350,62.4184,1024,6
1400,62.4184,1024,6
1450,62.4184,1024,10
1500,62.4184,1024,9
1550,62.4184,1024,6
1600,62.4184,1024,8
1650,62.4184,1024,8
1700,62.4184,1024,5
1750,62.4184,1024,9
1800,62.4184,1024,9
1850,62.4184,1024,8
1900,62.4184,1024,8
1950,62.4184,1024,9
2000,62.4184,1024,8
2050,68.8423,1024,5
2100,75.1288,1024,9
2150,75.2319,1024,6
2200,75.3006,1024,7
2250,75.5754,1024,9
2300,75.8159,1024,8
2350,75.8502,1024,8
2400,75.8502,1024,7
2450,75.9189,1024,11
2500,75.9533,1024,7
2550,76.0907,1024,8
2600,76.0907,1024,10
2650,76.0907,1024,9
2700,76.1594,1024,12
2750,76.1594,1024,7
2800,76.5373,1024,8
2850,76.5373,1024,4
2900,76.5373,1024,7
2950,76.5716,1024,14
3000,76.5716,1024,8
3050,76.5716,1024,8
3100,80.0756,1024,8
3150,81.3810,1024,7
3200,81.3810,1024,8
3250,81.4153,1024,7
3300,81.4153,1024,10
3350,81.4153,1024,5
3400,81.4153,1024,8
3450,81.4153,1024,7
3500,81.4153,1024,7
3550,81.4497,1024,6
3600,81.4497,1024,4
3650,81.4497,1024,8
3700,81.4497,1024,11
3750,81.4497,1024,10
3800,81.4497,1024,7
3850,81.4497,1024,7
3900,81.4497,1024,11
3950,81.4497,1024,6
4000,81.4497,1024,10
4050,81.4497,1024,8
4100,81.8619,1024,9
4150,82.5833,1024,7
4200,82.7894,1024,8
4250,83.7513,1024,10
4300,83.8200,1024,5
4350,84.1292,1024,6
4400,84.4040,1024,13
4450,85.1597,1024,7
4500,85.1597,1024,7
4550,85.1597,1024,8
4600,85.1597,1024,8
4650,85.2628,1024,11
4700,85.2628,1024,11
4750,85.2628,1024,8
4800,85.2971,1024,8
4850,85.2971,1024,9
4900,85.2971,1024,8
4950,85.2971,1024,10
5000,85.2971,1024,4
5050,85.2971,1024,9
5100,85.3659,1024,4
5150,87.4614,1024,8
5200,88.0797,1024,9
5250,88.3889,1024,8
5300,88.4232,1024,8
5350,88.5950,1024,7
5400,88.6293,1024,6
5450,88.6293,1024,8
5500,88.7324,1024,9
5550,88.7324,1024,7
5600,88.7324,1024,9
5650,88.8355,1024,8
5700,88.9042,1024,10
5750,88.9042,1024,7
5800,88.9042,1024,9
5850,88.9042,1024,6
5900,89.0072,1024,11
5950,89.0072,1024,10
6000,89.0416,1024,10
6050,89.0416,1024,9
6100,89.0416,1024,9
6150,89.4538,1024,7
6200,89.5912,1024,8
6250,89.6943,1024,9
6300,89.6943,1024,6
6350,89.7286,1024,6
6400,89.7286,1024,8
6450,89.7973,1024,9
6500,89.7973,1024,9
6550,89.8317,1024,9
6600,89.8317,1024,6
6650,89.8317,1024,8
6700,89.8660,1024,7
6750,89.8660,1024,9
6800,89.8660,1024,13
6850,90.0034,1024,9
6900,90.0034,1024,10
6950,90.0034,1024,7
7000,90.0034,1024,7
7050,90.0034,1024,7
7100,90.0034,1024,8
7150,90.0034,1024,5
7200,90.3126,1024,11
7250,90.3126,1024,7
7300,90.3126,1024,6
7350,90.3126,1024,9
7400,90.3126,1024,10
7450,90.3126,1024,9
7500,90.3126,1024,10
7550,90.3126,1024,7
7600,90.3126,1024,5
7650,90.3126,1024,7
7700,90.3126,1024,7
7750,90.3126,1024,13
7800,90.3126,1024,8
7850,90.3126,1024,8
7900,90.3126,1024,6
7950,90.3126,1024,7
8000,90.3126,1024,7
