circuit,num_inputs,num_gates,num_faults_collapsed,condition,num_patterns,final_coverage,detected_faults
s1494,14,647,710,Fixed-T(256),6000,72.67605633802818,516
s1494,14,647,710,Fixed-T(1024),6000,60.84507042253521,432
s1494,14,647,710,Adaptive-T(tuned),6000,86.76056338028168,616
s5378,214,2794,2911,Fixed-T(256),6000,94.43490209549982,2749
s5378,214,2794,2911,Fixed-T(1024),6000,89.04156647200276,2592
s5378,214,2794,2911,Adaptive-T(tuned),6000,95.91205771212643,2792
s9234,247,5597,4557,Fixed-T(256),3000,63.375027430326966,2888
s9234,247,5597,4557,Fixed-T(1024),3000,47.245995172262454,2153
s9234,247,5597,4557,Adaptive-T(tuned),3000,66.99583059030063,3053
s13207,700,7951,6381,Fixed-T(256),2000,73.28005014887948,4676
s13207,700,7951,6381,Fixed-T(1024),2000,50.47798150760069,3221
s13207,700,7951,6381,Adaptive-T(tuned),2000,79.03149976492713,5043
