condition,seed,final_coverage
Fixed-T(256),0xace1,94.22878735829612
Fixed-T(256),0xcf03,92.71727928546892
Fixed-T(256),0xf125,92.85468911027138
Fixed-T(256),0x11347,92.3050498110615
Fixed-T(256),0x13569,93.88526279628994
Fixed-T(256),0x1578b,93.81655788388869
Fixed-T(256),0x179ad,92.06458261765717
Fixed-T(256),0x19bcf,91.99587770525592
Fixed-T(1024),0xace1,85.29714874613535
Fixed-T(1024),0xcf03,82.92682926829268
Fixed-T(1024),0xf125,83.64823084850566
Fixed-T(1024),0x11347,86.53383716935761
Fixed-T(1024),0x13569,85.53761593953968
Fixed-T(1024),0x1578b,87.42700103057368
Fixed-T(1024),0x179ad,85.84678804534525
Fixed-T(1024),0x19bcf,85.88114050154586
Adaptive-T (default),0xace1,88.2171075231879
Adaptive-T (default),0xcf03,89.00721401580213
Adaptive-T (default),0xf125,84.74750944692545
Adaptive-T (default),0x11347,84.67880453452422
Adaptive-T (default),0x13569,86.98041909996564
Adaptive-T (default),0x1578b,85.15973892133287
Adaptive-T (default),0x179ad,88.83545173479904
Adaptive-T (default),0x19bcf,87.39264857437307
Adaptive-T (tuned),0xace1,95.53418069391961
Adaptive-T (tuned),0xcf03,96.04946753692889
Adaptive-T (tuned),0xf125,94.778426657506
Adaptive-T (tuned),0x11347,96.04946753692889
Adaptive-T (tuned),0x13569,95.22500858811405
Adaptive-T (tuned),0x1578b,95.39677086911715
Adaptive-T (tuned),0x179ad,95.56853315012023
Adaptive-T (tuned),0x19bcf,94.43490209549982
