tag,T_init,delta_T,alpha,K,W,calib_multiplier,auc,final_coverage
trial_3,64,96,0.85,2,32,1.5,85.71023703194778,92.18481621435933
trial_2,64,256,0.8,5,8,1.2,85.6776021985572,91.82411542425284
trial_11,96,128,0.8,3,32,1.5,84.36533837169358,91.37753349364479
trial_9,96,128,0.8,3,8,3.0,83.57694950188937,89.93473033321882
trial_10,128,192,0.9,3,16,2.0,77.2105805565098,83.37341119890073
trial_5,192,128,0.9,3,12,2.0,75.19065613191344,81.94778426657507
trial_1,64,64,0.9,3,12,1.5,74.84197870147716,81.19203023016146
trial_6,64,64,0.95,2,16,2.0,74.54740638955685,77.82548952250085
trial_12,96,192,0.95,4,32,1.5,71.51064926142219,77.87701820680178
DEFAULT,128,128,0.95,3,16,1.5,68.00412229474406,77.1384403984885
trial_7,128,64,0.95,2,24,1.2,68.00412229474406,77.1384403984885
trial_8,128,256,0.9,3,8,1.2,68.00412229474406,77.1384403984885
trial_4,192,96,0.95,4,8,1.5,66.97354860872554,77.27585022329097
