variant,iter,train_loss,val_loss
baseline,0,4.1922,4.1977
baseline,150,2.5294,2.5307
baseline,300,2.4004,2.4209
baseline,450,2.1321,2.1777
baseline,600,1.8583,1.9660
baseline,750,1.6732,1.8236
baseline,900,1.5561,1.7480
baseline,1050,1.4722,1.6659
baseline,1200,1.4156,1.6101
baseline,1350,1.3724,1.5885
baseline,1499,1.3403,1.5605
no_pos_emb,0,4.2462,4.2478
no_pos_emb,150,2.4630,2.4789
no_pos_emb,300,2.3722,2.4116
no_pos_emb,450,2.2306,2.3054
no_pos_emb,600,1.9806,2.0876
no_pos_emb,750,1.7861,1.9344
no_pos_emb,900,1.6652,1.8455
no_pos_emb,1050,1.5694,1.7682
no_pos_emb,1200,1.4807,1.7007
no_pos_emb,1350,1.4263,1.6462
no_pos_emb,1499,1.4063,1.6394
no_causal_mask,0,4.1944,4.2024
no_causal_mask,150,2.4805,2.4837
no_causal_mask,300,2.3886,2.4155
no_causal_mask,450,0.0160,0.0159
no_causal_mask,600,0.0120,0.0118
no_causal_mask,750,0.0111,0.0112
no_causal_mask,900,0.0105,0.0107
no_causal_mask,1050,0.0103,0.0105
no_causal_mask,1200,0.0104,0.0104
no_causal_mask,1350,0.0102,0.0103
no_causal_mask,1499,0.0101,0.0101
